id,citing,cited
oci:061603923233-06301317576,omid:br/061603923233,omid:br/06301317576
oci:06420179304-06501580693,omid:br/06420179304,omid:br/06501580693
oci:06340149542-06203956481,omid:br/06340149542,omid:br/06203956481
oci:06604359550-06250182322,omid:br/06604359550,omid:br/06250182322
oci:061103986619-06801239997,omid:br/061103986619,omid:br/06801239997
oci:06460172043-06602225453,omid:br/06460172043,omid:br/06602225453
oci:062403988504-06102644543,omid:br/062403988504,omid:br/06102644543
oci:06360159140-06701785594,omid:br/06360159140,omid:br/06701785594
oci:06530125647-06602165741,omid:br/06530125647,omid:br/06602165741
oci:062203981252-06140450239,omid:br/062203981252,omid:br/06140450239
oci:06420152437-062101030591,omid:br/06420152437,omid:br/062101030591
oci:06430188049-06140613444,omid:br/06430188049,omid:br/06140613444
oci:06904001195-06103082411,omid:br/06904001195,omid:br/06103082411
oci:061803907533-061101802852,omid:br/061803907533,omid:br/061101802852
oci:06270122577-06190425962,omid:br/06270122577,omid:br/06190425962
oci:06410104515-062502194227,omid:br/06410104515,omid:br/062502194227
oci:06470166100-06170764458,omid:br/06470166100,omid:br/06170764458
oci:06410191156-06240879357,omid:br/06410191156,omid:br/06240879357
oci:06504350837-06702326162,omid:br/06504350837,omid:br/06702326162
oci:06404345110-06130879158,omid:br/06404345110,omid:br/06130879158
oci:06470150067-06170480407,omid:br/06470150067,omid:br/06170480407
oci:06804425188-061802349030,omid:br/06804425188,omid:br/061802349030
oci:06380161496-06230703452,omid:br/06380161496,omid:br/06230703452
oci:062502455121-061302424860,omid:br/062502455121,omid:br/061302424860
oci:06320160411-06903059911,omid:br/06320160411,omid:br/06903059911
oci:06290153506-06303492530,omid:br/06290153506,omid:br/06303492530
oci:06360105983-06110290561,omid:br/06360105983,omid:br/06110290561
oci:06504350096-06901486442,omid:br/06504350096,omid:br/06901486442
oci:06440151752-06250557895,omid:br/06440151752,omid:br/06250557895
oci:06470150205-06220651118,omid:br/06470150205,omid:br/06220651118
oci:06340171551-06903082872,omid:br/06340171551,omid:br/06903082872
oci:06510132769-061703494058,omid:br/06510132769,omid:br/061703494058
oci:06802343005-06703516775,omid:br/06802343005,omid:br/06703516775
oci:06350149087-06501045406,omid:br/06350149087,omid:br/06501045406
oci:06370120690-06201838691,omid:br/06370120690,omid:br/06201838691
